Dataset	Id	SpecFile	LocalSpecIdx	Scan	LocalPeptideIdx	Name	Score	P-Value	PeptideMass	SpectrumMass	Retention	Adduct	Charge	FScore	MolFile	Family	Structure
MSV000078556	65	REG_fdr0_spectra/MSV000078556.mgf	65	65	8363	a-Substance_Ib	9	1.5e-15	685.3910000000001	343.711	170.169	M+2H	2	14.823908740944319	combined_db/mol_dir/antimarin2012_37467.mol	543	linear
MSV000079819	3	REG_fdr0_spectra/MSV000079819.mgf	3	3	8363	a-Substance_Ib	10	4.8e-15	685.3910000000001	343.70300000000003	215.521	M+2H	2	14.318758762624412	combined_db/mol_dir/antimarin2012_37467.mol	543	linear
MSV000078603	98	REG_fdr0_spectra/MSV000078603.mgf	98	98	8363	a-Substance_Ib	8	8.2e-15	685.3910000000001	343.695	220.592	M+2H	2	14.086186147616283	combined_db/mol_dir/antimarin2012_37467.mol	543	linear
MSV000078603	357	REG_fdr0_spectra/MSV000078603.mgf	357	357	8363	a-Substance_Ib	9	2.7999999999999997e-14	685.3910000000001	343.694	226.687	M+2H	2	13.55284196865778	combined_db/mol_dir/antimarin2012_37467.mol	543	linear
MSV000080115	58	REG_fdr0_spectra/MSV000080115.mgf	58	58	2924	Surfactin_Surfactin_C1	20	2.3999999999999997e-27	1035.68	1036.67	1143.14	M+H	1	26.619788758288394	combined_db/mol_dir/NZJ30-F.mol	7	cyclic
MSV000080115	56	REG_fdr0_spectra/MSV000080115.mgf	56	56	2924	Surfactin_Surfactin_C1	21	1.8000000000000004e-26	1035.68	1036.67	1098.94	M+H	1	25.744727494896694	combined_db/mol_dir/NZJ30-F.mol	7	cyclic
MSV000079140	42	REG_fdr0_spectra/MSV000079140.mgf	42	42	2924	Surfactin_Surfactin_C1	12	1.3e-25	1035.68	1036.7	438.92400000000004	M+H	1	24.886056647693163	combined_db/mol_dir/NZJ30-F.mol	7	cyclic
MSV000080115	31	REG_fdr0_spectra/MSV000080115.mgf	31	31	2924	Surfactin_Surfactin_C1	15	2.6e-25	1035.68	1036.68	1173.75	M+H	1	24.585026652029182	combined_db/mol_dir/NZJ30-F.mol	7	cyclic
MSV000079471	40	REG_fdr0_spectra/MSV000079471.mgf	40	40	2924	Surfactin_Surfactin_C1	20	3.8000000000000003e-25	1035.68	1036.69	465.93300000000005	M+H	1	24.42021640338319	combined_db/mol_dir/NZJ30-F.mol	7	cyclic
MSV000078556	81	REG_fdr0_spectra/MSV000078556.mgf	81	81	2924	Surfactin_Surfactin_C1	19	6.3999999999999996e-21	1035.68	518.857	466.08099999999996	M+2H	2	20.193820026016112	combined_db/mol_dir/NZJ30-F.mol	7	cyclic
MSV000078556	10	REG_fdr0_spectra/MSV000078556.mgf	10	10	2924	Surfactin_Surfactin_C1	20	1.5e-18	1035.68	518.85	468.74699999999996	M+2H	2	17.82390874094432	combined_db/mol_dir/NZJ30-F.mol	7	cyclic
MSV000079054	92	REG_fdr0_spectra/MSV000079054.mgf	92	92	2924	Surfactin_Surfactin_C1	13	4.7e-17	1035.68	518.851	262.142	M+2H	2	16.327902142064282	combined_db/mol_dir/NZJ30-F.mol	7	cyclic
MSV000079679	89	REG_fdr0_spectra/MSV000079679.mgf	89	89	2924	Surfactin_Surfactin_C1	18	7.6e-17	1035.68	518.85	549.492	M+2H	2	16.11918640771921	combined_db/mol_dir/NZJ30-F.mol	7	cyclic
MSV000079450	830	REG_fdr0_spectra/MSV000079450.mgf	830	830	2924	Surfactin_Surfactin_C1	8	6.8e-13	1035.68	518.849	332.464	M+2H	2	12.167491087293763	combined_db/mol_dir/NZJ30-F.mol	7	cyclic
MSV000080115	99	REG_fdr0_spectra/MSV000080115.mgf	99	99	8691	Esperin	20	9.2e-35	1035.68	1036.69	1141.42	M+H	1	34.036212172654444	combined_db/mol_dir/antimarin2012_25136.mol	7	cyclic
MSV000078635	480	REG_fdr0_spectra/MSV000078635.mgf	480	480	8691	Esperin	20	5.2e-31	1035.68	1036.7	295.547	M+H	1	30.2839966563652	combined_db/mol_dir/antimarin2012_25136.mol	7	cyclic
MSV000078556	83	REG_fdr0_spectra/MSV000078556.mgf	83	83	8691	Esperin	16	7.799999999999999e-31	1035.68	1036.71	464.778	M+H	1	30.10790539730952	combined_db/mol_dir/antimarin2012_25136.mol	7	cyclic
MSV000079888	41	REG_fdr0_spectra/MSV000079888.mgf	41	41	8691	Esperin	21	1.4e-29	1035.68	1036.69	346.17	M+H	1	28.853871964321762	combined_db/mol_dir/antimarin2012_25136.mol	7	cyclic
MSV000078936	192	REG_fdr0_spectra/MSV000078936.mgf	192	192	8691	Esperin	20	4.9000000000000004e-29	1035.68	1036.69	280.51599999999996	M+H	1	28.309803919971486	combined_db/mol_dir/antimarin2012_25136.mol	7	cyclic
MSV000079679	37	REG_fdr0_spectra/MSV000079679.mgf	37	37	8691	Esperin	17	6.4e-25	1035.68	518.851	548.3480000000001	M+2H	2	24.193820026016112	combined_db/mol_dir/antimarin2012_25136.mol	7	cyclic
MSV000079598	16	REG_fdr0_spectra/MSV000079598.mgf	16	16	8691	Esperin	17	2.4e-24	1035.68	518.85	497.92699999999996	M+2H	2	23.619788758288394	combined_db/mol_dir/antimarin2012_25136.mol	7	cyclic
MSV000079679	64	REG_fdr0_spectra/MSV000079679.mgf	64	64	8691	Esperin	16	1.7e-21	1035.68	518.85	547.369	M+2H	2	20.769551078621728	combined_db/mol_dir/antimarin2012_25136.mol	7	cyclic
MSV000079679	56	REG_fdr0_spectra/MSV000079679.mgf	56	56	8691	Esperin	14	5.4e-20	1035.68	518.8480000000001	549.092	M+2H	2	19.26760624017703	combined_db/mol_dir/antimarin2012_25136.mol	7	cyclic
MSV000080115	105	REG_fdr0_spectra/MSV000080115.mgf	105	105	8691	Esperin	12	1.4e-19	1035.68	518.847	1101.53	M+2H	2	18.853871964321762	combined_db/mol_dir/antimarin2012_25136.mol	7	cyclic
MSV000080115	69	REG_fdr0_spectra/MSV000080115.mgf	69	69	2564	Surfactin_Surfactin_B1	21	5.4e-27	1021.67	1022.7	1138.06	M+H	1	26.26760624017703	combined_db/mol_dir/NZJ26-I.mol	7	cyclic
MSV000080115	67	REG_fdr0_spectra/MSV000080115.mgf	67	67	2564	Surfactin_Surfactin_B1	22	4.0999999999999994e-24	1021.67	1022.69	1136.74	M+H	1	23.387216143280263	combined_db/mol_dir/NZJ26-I.mol	7	cyclic
MSV000078937	109	REG_fdr0_spectra/MSV000078937.mgf	109	109	2564	Surfactin_Surfactin_B1	14	5.2e-23	1021.67	1022.66	254.607	M+H	1	22.2839966563652	combined_db/mol_dir/NZJ26-I.mol	7	cyclic
MSV000079598	15	REG_fdr0_spectra/MSV000079598.mgf	15	15	2564	Surfactin_Surfactin_B1	19	1.3e-22	1021.67	1022.67	485.38199999999995	M+H	1	21.886056647693163	combined_db/mol_dir/NZJ26-I.mol	7	cyclic
MSV000080115	34	REG_fdr0_spectra/MSV000080115.mgf	34	34	2564	Surfactin_Surfactin_B1	21	1.9e-22	1021.67	1022.68	1135.43	M+H	1	21.72124639904717	combined_db/mol_dir/NZJ26-I.mol	7	cyclic
MSV000078556	82	REG_fdr0_spectra/MSV000078556.mgf	82	82	2564	Surfactin_Surfactin_B1	17	5.1e-17	1021.67	511.849	455.144	M+2H	2	16.292429823902065	combined_db/mol_dir/NZJ26-I.mol	7	cyclic
MSV000079598	17	REG_fdr0_spectra/MSV000079598.mgf	17	17	2564	Surfactin_Surfactin_B1	17	2.2000000000000002e-16	1021.67	511.842	488.37	M+2H	2	15.657577319177793	combined_db/mol_dir/NZJ26-I.mol	7	cyclic
MSV000079679	97	REG_fdr0_spectra/MSV000079679.mgf	97	97	2564	Surfactin_Surfactin_B1	16	7.5e-16	1021.67	511.841	530.1759999999999	M+2H	2	15.1249387366083	combined_db/mol_dir/NZJ26-I.mol	7	cyclic
MSV000079679	99	REG_fdr0_spectra/MSV000079679.mgf	99	99	2564	Surfactin_Surfactin_B1	17	2.2e-15	1021.67	511.842	531.37	M+2H	2	14.657577319177793	combined_db/mol_dir/NZJ26-I.mol	7	cyclic
MSV000078556	88	REG_fdr0_spectra/MSV000078556.mgf	88	88	2564	Surfactin_Surfactin_B1	14	2.1e-13	1021.67	511.849	456.23800000000006	M+2H	2	12.67778070526608	combined_db/mol_dir/NZJ26-I.mol	7	cyclic
MSV000078937	81	REG_fdr0_spectra/MSV000078937.mgf	81	81	6733	Bacillus_pumilus_KMM_1364_Lipodepsipeptides_KMM_1364E	22	1.4e-22	1063.71	1064.72	294.758	M+H	1	21.853871964321762	combined_db/mol_dir/OKQ82-P.mol	7	cyclic
MSV000078937	38	REG_fdr0_spectra/MSV000078937.mgf	38	38	6733	Bacillus_pumilus_KMM_1364_Lipodepsipeptides_KMM_1364E	21	1.9e-22	1063.71	1064.72	295.382	M+H	1	21.72124639904717	combined_db/mol_dir/OKQ82-P.mol	7	cyclic
MSV000078937	59	REG_fdr0_spectra/MSV000078937.mgf	59	59	6733	Bacillus_pumilus_KMM_1364_Lipodepsipeptides_KMM_1364E	20	1.9999999999999999e-22	1063.71	1064.71	294.426	M+H	1	21.69897000433602	combined_db/mol_dir/OKQ82-P.mol	7	cyclic
MSV000078936	217	REG_fdr0_spectra/MSV000078936.mgf	217	217	6733	Bacillus_pumilus_KMM_1364_Lipodepsipeptides_KMM_1364E	22	2.8e-22	1063.71	1064.74	306.86	M+H	1	21.55284196865778	combined_db/mol_dir/OKQ82-P.mol	7	cyclic
MSV000078936	125	REG_fdr0_spectra/MSV000078936.mgf	125	125	6733	Bacillus_pumilus_KMM_1364_Lipodepsipeptides_KMM_1364E	20	3.8e-22	1063.71	1064.74	304.217	M+H	1	21.42021640338319	combined_db/mol_dir/OKQ82-P.mol	7	cyclic
MSV000080115	89	REG_fdr0_spectra/MSV000080115.mgf	89	89	2272	Surfactin_Surfactin_A1	16	4.2e-18	1007.65	1008.65	1026.48	M+H	1	17.3767507096021	combined_db/mol_dir/NZJ23-F.mol	7	cyclic
MSV000080115	120	REG_fdr0_spectra/MSV000080115.mgf	120	120	2272	Surfactin_Surfactin_A1	16	5.2999999999999995e-18	1007.65	1008.67	1091.42	M+H	1	17.27572413039921	combined_db/mol_dir/NZJ23-F.mol	7	cyclic
MSV000080115	48	REG_fdr0_spectra/MSV000080115.mgf	48	48	2272	Surfactin_Surfactin_A1	16	5.2999999999999995e-18	1007.65	1008.67	1091.42	M+H	1	17.27572413039921	combined_db/mol_dir/NZJ23-F.mol	7	cyclic
MSV000080115	74	REG_fdr0_spectra/MSV000080115.mgf	74	74	2272	Surfactin_Surfactin_A1	17	1.2e-17	1007.65	1008.68	1096.64	M+H	1	16.920818753952375	combined_db/mol_dir/NZJ23-F.mol	7	cyclic
MSV000079450	261	REG_fdr0_spectra/MSV000079450.mgf	261	261	2272	Surfactin_Surfactin_A1	12	2.3e-17	1007.65	1008.66	302.475	M+H	1	16.638272163982407	combined_db/mol_dir/NZJ23-F.mol	7	cyclic
MSV000078556	22	REG_fdr0_spectra/MSV000078556.mgf	22	22	2272	Surfactin_Surfactin_A1	12	5.5e-14	1007.65	504.834	440.43300000000005	M+2H	2	13.259637310505756	combined_db/mol_dir/NZJ23-F.mol	7	cyclic
MSV000078937	75	REG_fdr0_spectra/MSV000078937.mgf	75	75	9047	[Ile7]-Surfactin_C14i_dimethyl_ester	14	2.6e-16	1049.7	1050.7	273.317	M+H	1	15.585026652029182	combined_db/mol_dir/antimarin2012_45036.mol	7	cyclic
MSV000078556	19	REG_fdr0_spectra/MSV000078556.mgf	19	19	9047	[Ile7]-Surfactin_C14i_dimethyl_ester	14	2.5e-14	1049.7	1050.71	478.254	M+H	1	13.602059991327963	combined_db/mol_dir/antimarin2012_45036.mol	7	cyclic
MSV000080055	1	REG_fdr0_spectra/MSV000080055.mgf	1	1	9047	[Ile7]-Surfactin_C14i_dimethyl_ester	12	2.7999999999999997e-14	1049.7	1050.71	1927.83	M+H	1	13.55284196865778	combined_db/mol_dir/antimarin2012_45036.mol	7	cyclic
MSV000078850	27	REG_fdr0_spectra/MSV000078850.mgf	27	27	9047	[Ile7]-Surfactin_C14i_dimethyl_ester	7	2.4e-09	1049.7	1050.7	1479.54	M+H	1	8.619788758288394	combined_db/mol_dir/antimarin2012_45036.mol	7	cyclic
MSV000078688	20	REG_fdr0_spectra/MSV000078688.mgf	20	20	6525	SNA_60-367_SNA_60-367-13	33	2.2e-39	1504.84	753.433	182.93099999999998	M+2H	2	38.6575773191778	combined_db/mol_dir/HLH79-I.mol	61	b-cyclic
MSV000078787	5	REG_fdr0_spectra/MSV000078787.mgf	5	5	6525	SNA_60-367_SNA_60-367-13	33	2.2e-39	1504.84	753.433	182.93099999999998	M+2H	2	38.6575773191778	combined_db/mol_dir/HLH79-I.mol	61	b-cyclic
MSV000079450	243	REG_fdr0_spectra/MSV000079450.mgf	243	243	6525	SNA_60-367_SNA_60-367-13	21	6.7e-31	1504.84	753.434	201.398	M+2H	2	30.173925197299173	combined_db/mol_dir/HLH79-I.mol	61	b-cyclic
MSV000079054	79	REG_fdr0_spectra/MSV000079054.mgf	79	79	6525	SNA_60-367_SNA_60-367-13	25	2.3e-30	1504.84	753.433	183.153	M+2H	2	29.638272163982407	combined_db/mol_dir/HLH79-I.mol	61	b-cyclic
MSV000080115	8	REG_fdr0_spectra/MSV000080115.mgf	8	8	6525	SNA_60-367_SNA_60-367-13	27	3.5e-30	1504.84	753.418	722.691	M+2H	2	29.455931955649724	combined_db/mol_dir/HLH79-I.mol	61	b-cyclic
MSV000078936	32	REG_fdr0_spectra/MSV000078936.mgf	32	32	9016	[Ile2,Val7]-Surfactin_C14i	19	1.1e-26	1007.65	1008.65	249.826	M+H	1	25.958607314841775	combined_db/mol_dir/antimarin2012_45007.mol	7	cyclic
MSV000080115	14	REG_fdr0_spectra/MSV000080115.mgf	14	14	9016	[Ile2,Val7]-Surfactin_C14i	20	1.8000000000000004e-26	1007.65	1008.64	1081.38	M+H	1	25.744727494896694	combined_db/mol_dir/antimarin2012_45007.mol	7	cyclic
MSV000078936	203	REG_fdr0_spectra/MSV000078936.mgf	203	203	9016	[Ile2,Val7]-Surfactin_C14i	18	1.4000000000000002e-23	1007.65	1008.67	252.551	M+H	1	22.853871964321762	combined_db/mol_dir/antimarin2012_45007.mol	7	cyclic
MSV000078936	33	REG_fdr0_spectra/MSV000078936.mgf	33	33	9016	[Ile2,Val7]-Surfactin_C14i	19	7.700000000000001e-23	1007.65	1008.65	246.793	M+H	1	22.113509274827518	combined_db/mol_dir/antimarin2012_45007.mol	7	cyclic
MSV000078936	41	REG_fdr0_spectra/MSV000078936.mgf	41	41	9016	[Ile2,Val7]-Surfactin_C14i	19	5.5e-22	1007.65	1008.67	248.183	M+H	1	21.259637310505756	combined_db/mol_dir/antimarin2012_45007.mol	7	cyclic
MSV000078556	23	REG_fdr0_spectra/MSV000078556.mgf	23	23	9016	[Ile2,Val7]-Surfactin_C14i	12	7e-14	1007.65	504.834	441.53	M+2H	2	13.154901959985743	combined_db/mol_dir/antimarin2012_45007.mol	7	cyclic
MSV000078635	538	REG_fdr0_spectra/MSV000078635.mgf	538	538	9032	[Ile2,Val7]-Surfactin_C14i_monomethyl_es	13	8.6e-19	1021.67	1022.67	273.158	M+H	1	18.065501548756433	combined_db/mol_dir/antimarin2012_45020.mol	7	cyclic
MSV000078936	255	REG_fdr0_spectra/MSV000078936.mgf	255	255	9032	[Ile2,Val7]-Surfactin_C14i_monomethyl_es	12	1e-18	1021.67	1022.68	258.684	M+H	1	18.0	combined_db/mol_dir/antimarin2012_45020.mol	7	cyclic
MSV000078937	204	REG_fdr0_spectra/MSV000078937.mgf	204	204	9032	[Ile2,Val7]-Surfactin_C14i_monomethyl_es	11	2.1e-15	1021.67	1022.67	250.984	M+H	1	14.67778070526608	combined_db/mol_dir/antimarin2012_45020.mol	7	cyclic
MSV000078937	47	REG_fdr0_spectra/MSV000078937.mgf	47	47	9032	[Ile2,Val7]-Surfactin_C14i_monomethyl_es	11	2.4e-15	1021.67	1022.67	250.57	M+H	1	14.619788758288394	combined_db/mol_dir/antimarin2012_45020.mol	7	cyclic
MSV000078937	247	REG_fdr0_spectra/MSV000078937.mgf	247	247	9032	[Ile2,Val7]-Surfactin_C14i_monomethyl_es	14	2.9e-15	1021.67	1022.67	251.31799999999998	M+H	1	14.537602002101044	combined_db/mol_dir/antimarin2012_45020.mol	7	cyclic
MSV000079054	21	REG_fdr0_spectra/MSV000079054.mgf	21	21	9032	[Ile2,Val7]-Surfactin_C14i_monomethyl_es	14	8.2e-15	1021.67	511.836	251.575	M+2H	2	14.086186147616283	combined_db/mol_dir/antimarin2012_45020.mol	7	cyclic
MSV000078830	35	REG_fdr0_spectra/MSV000078830.mgf	35	35	5722	Glycylprolylphenylalanylprolylisoleucine_Glycylprolylphenylalanylprolylisoleucine	7	1.1000000000000001e-18	529.29	530.306	172.225	M+H	1	17.958607314841775	combined_db/mol_dir/GKO69-W.mol	543	linear
MSV000078830	61	REG_fdr0_spectra/MSV000078830.mgf	61	61	5722	Glycylprolylphenylalanylprolylisoleucine_Glycylprolylphenylalanylprolylisoleucine	7	3.500000000000001e-18	529.29	530.3009999999999	170.127	M+H	1	17.455931955649724	combined_db/mol_dir/GKO69-W.mol	543	linear
MSV000078830	116	REG_fdr0_spectra/MSV000078830.mgf	116	116	5722	Glycylprolylphenylalanylprolylisoleucine_Glycylprolylphenylalanylprolylisoleucine	7	3.6e-18	529.29	530.307	170.148	M+H	1	17.443697499232712	combined_db/mol_dir/GKO69-W.mol	543	linear
MSV000078830	51	REG_fdr0_spectra/MSV000078830.mgf	51	51	5722	Glycylprolylphenylalanylprolylisoleucine_Glycylprolylphenylalanylprolylisoleucine	7	4.6e-18	529.29	530.298	176.71099999999998	M+H	1	17.337242168318426	combined_db/mol_dir/GKO69-W.mol	543	linear
MSV000078830	128	REG_fdr0_spectra/MSV000078830.mgf	128	128	5722	Glycylprolylphenylalanylprolylisoleucine_Glycylprolylphenylalanylprolylisoleucine	7	5.2999999999999995e-18	529.29	530.305	171.583	M+H	1	17.27572413039921	combined_db/mol_dir/GKO69-W.mol	543	linear
MSV000079140	50	REG_fdr0_spectra/MSV000079140.mgf	50	50	8206	E'Surugamide_C'	17	1.5e-30	897.605	898.6289999999999	245.209	M+H	1	29.82390874094432	combined_db/mol_dir/streptomedb.3905.mol	179	cyclic
MSV000078937	175	REG_fdr0_spectra/MSV000078937.mgf	175	175	8206	E'Surugamide_C'	28	5.9e-30	897.605	898.62	148.543	M+H	1	29.229147988357855	combined_db/mol_dir/streptomedb.3905.mol	179	cyclic
MSV000079140	68	REG_fdr0_spectra/MSV000079140.mgf	68	68	8206	E'Surugamide_C'	27	9.000000000000001e-30	897.605	898.63	261.017	M+H	1	29.045757490560675	combined_db/mol_dir/streptomedb.3905.mol	179	cyclic
MSV000079140	117	REG_fdr0_spectra/MSV000079140.mgf	117	117	8206	E'Surugamide_C'	20	3.6000000000000003e-29	897.605	898.625	244.827	M+H	1	28.443697499232712	combined_db/mol_dir/streptomedb.3905.mol	179	cyclic
MSV000079140	81	REG_fdr0_spectra/MSV000079140.mgf	81	81	8206	E'Surugamide_C'	16	3.9e-28	897.605	898.6289999999999	256.926	M+H	1	27.4089353929735	combined_db/mol_dir/streptomedb.3905.mol	179	cyclic
MSV000079140	83	REG_fdr0_spectra/MSV000079140.mgf	83	83	8205	E'Surugamide_B'	31	5.5999999999999995e-36	897.605	898.627	256.961	M+H	1	35.2518119729938	combined_db/mol_dir/streptomedb.3904.mol	179	cyclic
MSV000079140	136	REG_fdr0_spectra/MSV000079140.mgf	136	136	8205	E'Surugamide_B'	23	1.1e-35	897.605	898.63	242.122	M+H	1	34.95860731484178	combined_db/mol_dir/streptomedb.3904.mol	179	cyclic
MSV000079140	85	REG_fdr0_spectra/MSV000079140.mgf	85	85	8205	E'Surugamide_B'	28	1.3e-34	897.605	898.627	249.546	M+H	1	33.88605664769317	combined_db/mol_dir/streptomedb.3904.mol	179	cyclic
MSV000079140	47	REG_fdr0_spectra/MSV000079140.mgf	47	47	8205	E'Surugamide_B'	28	5.9e-34	897.605	898.632	245.87400000000002	M+H	1	33.22914798835786	combined_db/mol_dir/streptomedb.3904.mol	179	cyclic
MSV000079140	28	REG_fdr0_spectra/MSV000079140.mgf	28	28	8205	E'Surugamide_B'	17	7.299999999999999e-34	897.605	898.6260000000001	250.19400000000002	M+H	1	33.136677139879545	combined_db/mol_dir/streptomedb.3904.mol	179	cyclic
MSV000079517	3	REG_fdr0_spectra/MSV000079517.mgf	3	3	8205	E'Surugamide_B'	22	5.4e-23	897.605	449.809	278.21	M+2H	2	22.26760624017703	combined_db/mol_dir/streptomedb.3904.mol	179	cyclic
MSV000079516	7	REG_fdr0_spectra/MSV000079516.mgf	7	7	8205	E'Surugamide_B'	23	2.4e-22	897.605	449.809	280.383	M+2H	2	21.619788758288394	combined_db/mol_dir/streptomedb.3904.mol	179	cyclic
MSV000079519	24	REG_fdr0_spectra/MSV000079519.mgf	24	24	8205	E'Surugamide_B'	22	1.2e-20	897.605	449.81	279.355	M+2H	2	19.920818753952375	combined_db/mol_dir/streptomedb.3904.mol	179	cyclic
MSV000079516	48	REG_fdr0_spectra/MSV000079516.mgf	48	48	8205	E'Surugamide_B'	22	1.9e-20	897.605	449.81	280.15	M+2H	2	19.72124639904717	combined_db/mol_dir/streptomedb.3904.mol	179	cyclic
MSV000079519	68	REG_fdr0_spectra/MSV000079519.mgf	68	68	8205	E'Surugamide_B'	20	5.2000000000000005e-20	897.605	449.809	279.24	M+2H	2	19.2839966563652	combined_db/mol_dir/streptomedb.3904.mol	179	cyclic
MSV000079140	108	REG_fdr0_spectra/MSV000079140.mgf	108	108	8204	E'Surugamide_A'	20	5.999999999999999e-34	911.6210000000001	912.6439999999999	272.129	M+H	1	33.221848749616356	combined_db/mol_dir/streptomedb.3903.mol	179	cyclic
MSV000079140	72	REG_fdr0_spectra/MSV000079140.mgf	72	72	8204	E'Surugamide_A'	24	4.9999999999999995e-31	911.6210000000001	912.643	263.03	M+H	1	30.30102999566398	combined_db/mol_dir/streptomedb.3903.mol	179	cyclic
MSV000079140	140	REG_fdr0_spectra/MSV000079140.mgf	140	140	8204	E'Surugamide_A'	21	1e-30	911.6210000000001	912.6469999999999	263.36	M+H	1	30.0	combined_db/mol_dir/streptomedb.3903.mol	179	cyclic
MSV000079140	51	REG_fdr0_spectra/MSV000079140.mgf	51	51	8204	E'Surugamide_A'	22	2.3e-30	911.6210000000001	912.6439999999999	255.50599999999997	M+H	1	29.638272163982407	combined_db/mol_dir/streptomedb.3903.mol	179	cyclic
MSV000079140	8	REG_fdr0_spectra/MSV000079140.mgf	8	8	8204	E'Surugamide_A'	23	1.4e-29	911.6210000000001	912.637	261.992	M+H	1	28.853871964321762	combined_db/mol_dir/streptomedb.3903.mol	179	cyclic
MSV000079140	32	REG_fdr0_spectra/MSV000079140.mgf	32	32	8204	E'Surugamide_A'	21	2.5e-27	911.6210000000001	456.82099999999997	259.006	M+2H	2	26.602059991327963	combined_db/mol_dir/streptomedb.3903.mol	179	cyclic
MSV000078937	276	REG_fdr0_spectra/MSV000078937.mgf	276	276	8204	E'Surugamide_A'	21	2.6e-23	911.6210000000001	456.82199999999995	169.122	M+2H	2	22.585026652029182	combined_db/mol_dir/streptomedb.3903.mol	179	cyclic
MSV000079519	25	REG_fdr0_spectra/MSV000079519.mgf	25	25	8204	E'Surugamide_A'	22	5.9e-22	911.6210000000001	456.81800000000004	288.615	M+2H	2	21.229147988357855	combined_db/mol_dir/streptomedb.3903.mol	179	cyclic
MSV000079519	30	REG_fdr0_spectra/MSV000079519.mgf	30	30	8204	E'Surugamide_A'	19	3.6e-21	911.6210000000001	456.81699999999995	294.48400000000004	M+2H	2	20.443697499232712	combined_db/mol_dir/streptomedb.3903.mol	179	cyclic
